label,truelabel
100monkeystyping.com,1
12thharmonic.com/wordpress,1
750volts.blogspot.com,1
95theses.blogspot.com,1
abbadabbaduo.blogspot.com,1
aboutpolitics.blogspot.com,1
achingandspinning.blogspot.com,1
ackackack.com,1
adamtalib.blogspot.com,1
adviceforlefty.blogspot.com,1
agonist.org,1
aintnobaddude.com,1
ajbenjaminjr.blogspot.com,1
alicublog.blogspot.com,1
allanjenkins.typepad.com,1
allspinzone.blogspot.com,1
alphapredator.com/wdtgw.htm,1
alternateworlds.blogspot.com,1
althippo.blogspot.com,1
alvintostig.typepad.com,1
americablog.blogspot.com,1
americablog.org,1
americanmuslim.blogs.com,1
americanpolitics.com,1
americansforbayh.blogspot.com,1
amleft.blogspot.com,1
amliberal.com/blog,1
amptoons.com/blog,1
anarchyxero.robfindlay.org,1
andifeelfine.blogspot.com,1
andymatic.com,1
angrybear.blogspot.com,1
angrydesi.typepad.com,1
angryfinger.org,1
angryhomo.blogspot.com,1
annatopia.com/home.html,1
anoldsoul.blogspot.com,1
anonymoussources.blogspot.com,1
answerguy.blogspot.com,1
anybodybutbushyall.blogspot.com,1
anywhichway.net,1
arancaytar.blogspot.com,1
archpundit.com,1
arkansastonight.com,1
askhoudari.blogspot.com,1
astroturf.uni.cc,1
atease.blogspot.com,1
atrios.blogspot.com,1
atrios.blogspot.com/ ,1
awards5.tripod.com/tarasblog,1
b-patton.blogspot.com,1
bakshi.us/redskunk,1
barkingdingo.blogspot.com,1
bartcop.com,1
battleground-wisconsin.blogspot.com,1
battlegroundstates.blogspot.com,1
beastsbelly.blogspot.com,1
bentcorner.blogspot.com,1
bettyblog.com,1
billmon.org,1
billsrants.blogspot.com,1
blog.dccc.org,1
blog.dennisfox.net,1
blog.glinka.com,1
blog.johnkerry.com,1
blog.kenlan.net,1
blog.mintruth.com,1
blog.veggiedude.com,1
blog01.kintera.com/dnccblog,1
blog01.kintera.com/emilysblog,1
bloganonymous.com,1
blogforamerica.com,1
blogforarizona.com,1
blogfreeordie.blogspot.com,1
blogitics.com,1
blogs.salon.com/0002874,1
blogs.salon.com/0003364,1
blogslut.com,1
blosteam.blogspot.com,1
bluegrassroots.blogspot.com,1
bluelemur.com,1
blueoregon.com,1
bluestateredstate.blogspot.com,1
bodyandsoul.typepad.com,1
boffo.typepad.com,1
boloboffin.blogspot.com,1
bopnews.com,1
boston.com/news/blogs/dnc,1
bowles2004.com/weblog,1
boycottsbg.com,1
bradcarson.com/blog,1
bradfriedman.com/bradblog,1
brilliantatbreakfast.blogspot.com,1
browncross.com/usualsuspects,1
btcnews.com/btcnews,1
bullmooseblog.com,1
burntorangereport.com,1
bushlies.net/pages/10/index.htm,1
bushmisunderestimated.blogspot.com,1
busybusybusy.com,1
buzzmachine.com,1
carpetblogger.com,1
cbaker.org/blog,1
cemonitor.blogspot.com,1
centerpiece.blogspot.com,1
changeforamerica.com/blog,1
charleypatton.blogspot.com,1
charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48,1
chepooka.com,1
chiron.typepad.com,1
churchofcriticalthinking.com,1
clarified.blogspot.com,1
claudialong.com/blog,1
cleancutkid.com,1
collegedems.com/blog,1
conniptions.net,1
conservativessuck.blogspot.com,1
contrapositive.blogspot.com,1
corrente.blogspot.com,1
counterspin.blogspot.com,1
crankylittleblog.blogspot.com,1
criticalviewer.com,1
crookedtimber.org,1
crooksandliars.com,1
dailyblatt.blogspot.com,1
dailyhowler.com,1
dailykos.com,1
dailywarnews.blogspot.com,1
damntheman.net,1
dashnier.blogspot.com,1
davidsirota.com,1
dawnofnewamerica.blogspot.com,1
deathpenaltyusa.blogspot.com,1
debunker.net,1
dedspace.blogspot.com,1
delraysteve.com/blog,1
demagogue.blogspot.com,1
demleft.blogspot.com,1
democraticunderground.com,1
democratreport.blogspot.com,1
democrats.org/blog,1
democratvoice.org,1
dems2000.net,1
dems2004.org/blog,1
denisdekat.com,1
dewar.journalspace.com,1
digbysblog.blogspot.com,1
digestiblenews.blogspot.com,1
digitaljay.blogspot.com,1
dimmykarras.blogspot.com,1
dir.salon.com/topics/joe_conason/index.html,1
discourse.net,1
diypolitics.blogdrive.com,1
dneiwert.blogspot.com,1
dogfight04.typepad.com,1
dohiyimir.typepad.com,1
dolphinsdock.com/blog,1
donkey2004.blogspot.com,1
donspoliticalblog.blogspot.com,1
duckdaotsu.blogspot.com,1
dystopia.blog-city.com,1
eastbaykerry.com,1
elayneriggs.blogspot.com,1
elderbearden.blogspot.com,1
electablog.com,1
elemming2.blogspot.com,1
elissa.typepad.com,1
eltcamerica.blogspot.com,1
emergingdemocraticmajority.com,1
emergingdemocraticmajorityweblog.com/donkeyrising,1
